Symbol,Exchange
^NQHK20,NIM
BIOV.SW,EBS
^JHML-TC,ASE
931142.SS,SHH
X10XB.IS,IST
FTUSWSUT.FGI,FGI
DE000SL0LDT5.SG,STU
^BKCFRT,SNP
^MUSE-EU,ASE
DE000SL0A9J5.SG,STU
^NQEUSC,NIM
^NQUSM55T,NIM
DE000SL0M522.SG,STU
CH116965550.Z,ZRH
CAL23.SW,EBS
DE000SL0FHX0.SG,STU
^PSI-IV,ASE
DE000SL0A3U5.SG,STU
^NQEMMEA35N,NIM
932039.SS,SHH
Q4U1.Z,ZRH
^SP1500-401010,SNP
^NQMAMCN,NIM
DE000SL0M217.SG,STU
^JPEM-IV,ASE
DE000SL0B9Q9.SG,STU
HALKS_CFCPTLER.IS,IST
^YMAG-TC,ASE
^GMNY-TC,ASE
^NYSSCPLN,NYS
^DJBGGIEP,DJI
Q2SE.Z,ZRH
^NQEMASIA5020,NIM
IDXPROPERT.JK,JKT
AW02.FGI,FGI
SGBG1.PA,PAR
^NQUSB302010LMN,NIM
FRUS500.FGI,FGI
^NQDMXUS20,NIM
^BIGY-EU,ASE
Q5PU.Z,ZRH
399243.SZ,SHZ
DE000SL0C1M4.SG,STU
^R1ICBIDE,WCB
^NQIT20,NIM
Q38X.Z,ZRH
^SPDLEUUP,SNP
DE000SL0LQH2.SG,STU
^DJUSIL,DJI
STIS2X.FGI,FGI
DE000SL0CEG9.SG,STU
^NQEM3010,NIM
^RUINRP,WCB
A944.Z,ZRH
Q7B7.Z,ZRH
DE000SL0A3F6.SG,STU
3DPM.Z,ZRH
^NQES40,NIM
^NQUSB10102010LM,NIM
05Z1.Z,ZRH
^IGTR-EU,ASE
^TOK-IV,ASE
^TREEOSET,FGI
^NYSLCPLT,NYS
^NQKRSC,NIM
^SPGSCLTR,SNP
S5713D.SW,EBS
2OLQ.Z,ZRH
DE000SL0KG53.SG,STU
^IJAN-EU,ASE
202.TA,TLV
009P.Z,ZRH
DE000SL0BB59.SG,STU
^CX502040GI,NIM
^OMXCCAPXTRYGGI,NIM
DE000SL0LBG6.SG,STU
^SP1500-25203010,SNP
^NYLCATT,NYS
A558.Z,ZRH
DE000SL0EG85.SG,STU
DE000SL0LJX4.SG,STU
DE000SL0B301.SG,STU
00YU.Z,ZRH
XSAYD_CFNNTLUS.IS,IST
DE000SL0E131.SG,STU
^DJSHCP,DJI
0F8D.Z,ZRH
DE000SL0FYH8.SG,STU
^AOXJR,ASX
^RFEM-IV,ASE
^EEMS-NV,ASE
SBI7L.SW,EBS
